"","playerName","playerLink","playerAge","playerPos","playerVal","fromName","fromLink","fromCountry","rawFee","valU","feeU","val","fee","year","date","posGroup","index","feeShare","dob","exactAge","ageXspend","meanAge","yrSpend"
"90","Sölvi Ottesen","http://www.transfermarkt.co.uk/solvi-ottesen/profil/spieler/21338",30,"Centre Back","£600k","Ural Sverdlovskaya Oblast","/ural-sverdlovskaya-oblast/transfers/verein/11127/saison_id/2014","Russia","£563k","k","k",0.6,0.563,2015,2015-01-01,"DEF",3,0.87,1984-02-18,30.89,16.89,26.5816121762218,65
"91","Avraam Papadopoulos","http://www.transfermarkt.co.uk/avraam-papadopoulos/profil/spieler/12979",30,"Centre Back","£1.35m","Trabzonspor","/trabzonspor/transfers/verein/449/saison_id/2014","Turkey","£214k","m","k",1.35,0.214,2015,2015-01-01,"DEF",4,0.33,1984-12-03,30.099,6.42,26.5816121762218,65
"92","Jacob Mulenga","http://www.transfermarkt.co.uk/jacob-mulenga/profil/spieler/25118",30,"Centre Forward","£1.50m","Adana Demirspor","/adana-demirspor/transfers/verein/3840/saison_id/2014","Turkey","Free transfer","m","r",1.5,0,2015,2015-01-01,"FWD",6,0,1984-02-12,30.907,0,26.5816121762218,65
"93","Mohamed Sissoko","http://www.transfermarkt.co.uk/mohamed-sissoko/profil/spieler/6119",30,"Defensive Midfield","£1.50m","Levante UD","/levante-ud/transfers/verein/3368/saison_id/2015","Spain","Free transfer","m","r",1.5,0,2015,2015-07-01,"MID",7,0,1985-01-22,30.458,0,26.5816121762218,65
"94","Wagner","http://www.transfermarkt.co.uk/wagner/profil/spieler/45720",30,"Left Wing","£3.56m","Fluminense","/fluminense/transfers/verein/2462/saison_id/2015","Brazil","?","m","?",3.56,0,2015,2015-07-01,"MID",5,0,1985-01-29,30.438,0,26.5816121762218,65
"95","Darío Conca","http://www.transfermarkt.co.uk/dario-conca/profil/spieler/53877",31,"Attacking Midfield","£3.00m","Fluminense","/fluminense/transfers/verein/2462/saison_id/2014","Brazil","£2.25m","m","m",3,2.25,2015,2015-01-01,"MID",1,3.47,1983-05-11,31.666,69.75,26.5816121762218,65
"96","罗比尼奥","http://www.transfermarkt.co.uk/robinho/profil/spieler/15511",31,"Secondary Striker","£4.50m","AC Milan","/ac-milan/transfers/verein/5/saison_id/2015","Italy","Free transfer","m","r",4.5,0,2015,2015-07-01,"FWD",2,0,1984-01-25,31.452,0,26.5816121762218,65
"97","古德约翰森","http://www.transfermarkt.co.uk/eidur-gudjohnsen/profil/spieler/3176",36,"Centre Forward","£263k","Bolton","/bolton/transfers/verein/355/saison_id/2015","England","Free transfer","k","r",0.263,0,2015,2015-07-01,"FWD",1,0,1978-09-15,36.816,0,26.5816121762218,65
"98","Zhechao Chen","http://www.transfermarkt.co.uk/zhechao-chen/profil/spieler/267529",20,"Left-Back","£56k","Oriental Dragon","/oriental-dragon/transfers/verein/50615/saison_id/2015","Portugal","Free transfer","k","r",0.056,0,2016,2016-01-01,"DEF",1,0,1995-04-19,20.718,0,27.7012429806297,158
"99","Xin Xu","http://www.transfermarkt.co.uk/xin-xu/profil/spieler/237852",21,"Defensive Midfield","£113k","Atl. Madrid B","/atl-madrid-b/transfers/verein/3679/saison_id/2015","Spain","£3.23m","k","m",0.113,3.23,2016,2016-01-01,"MID",1,2.04,1994-04-19,21.718,67.83,27.7012429806297,158
"100","Pu Huang","http://www.transfermarkt.co.uk/pu-huang/profil/spieler/254183",21,"Right Wing","-","Oliveirense","/oliveirense/transfers/verein/23315/saison_id/2015","Portugal","Free transfer","-","r",NA,0,2016,2016-01-01,"MID",2,0,1994-07-01,21.518,0,27.7012429806297,158
"101","Pengfei Han","http://www.transfermarkt.co.uk/pengfei-han/profil/spieler/276523",22,"Centre Back","£19k","Mafra","/mafra/transfers/verein/7056/saison_id/2015","Portugal","?","k","?",0.019,0,2016,2016-01-01,"DEF",2,0,1993-04-28,22.693,0,27.7012429806297,158
"102","Fernandinho","http://www.transfermarkt.co.uk/fernandinho/profil/spieler/230937",22,"Left Wing","£450k","Estoril","/estoril/transfers/verein/1465/saison_id/2015","Portugal","?","k","?",0.45,0,2016,2016-01-01,"MID",1,0,1993-03-16,22.811,0,27.7012429806297,158
"103","Zhibin Li","http://www.transfermarkt.co.uk/zhibin-li/profil/spieler/261237",22,"Striker","-","UE Cornellà","/ue-cornella/transfers/verein/16196/saison_id/2015","Spain","Free transfer","-","r",NA,0,2016,2016-01-01,"FWD",3,0,1993-09-17,22.304,0,27.7012429806297,158
"104","Yi Guo","http://www.transfermarkt.co.uk/yi-guo/profil/spieler/254084",23,"Left Wing","£38k","Leixões","/leixoes/transfers/verein/3345/saison_id/2015","Portugal","?","k","?",0.038,0,2016,2016-01-01,"MID",1,0,1993-01-29,22.937,0,27.7012429806297,158
"105","Ximing Pan","http://www.transfermarkt.co.uk/ximing-pan/profil/spieler/269730",23,"Centre Back","£38k","Leixões","/leixoes/transfers/verein/3345/saison_id/2015","Portugal","?","k","?",0.038,0,2016,2016-01-01,"DEF",2,0,1993-01-11,22.986,0,27.7012429806297,158
"106","Gaël Kakuta","http://www.transfermarkt.co.uk/gael-kakuta/profil/spieler/74297",24,"Left Wing","£4.50m","Sevilla FC","/sevilla-fc/transfers/verein/368/saison_id/2015","Spain","£3.75m","m","m",4.5,3.75,2016,2016-01-01,"MID",1,2.37,1991-06-21,24.548,90,27.7012429806297,158
"107","特谢拉","http://www.transfermarkt.co.uk/alex-teixeira/profil/spieler/66515",26,"Attacking Midfield","£22.50m","Shakhtar D.","/shakhtar-d-/transfers/verein/660/saison_id/2015","Ukraine","£37.50m","m","m",22.5,37.5,2016,2016-01-01,"MID",1,23.66,1990-01-06,26.003,975,27.7012429806297,158
"108","Yang Tan","http://www.transfermarkt.co.uk/yang-tan/profil/spieler/156516",26,"Centre Forward","£56k","Mafra","/mafra/transfers/verein/7056/saison_id/2015","Portugal","Free transfer","k","r",0.056,0,2016,2016-01-01,"FWD",2,0,1989-01-09,26.995,0,27.7012429806297,158
"109","Renato Augusto","http://www.transfermarkt.co.uk/renato-augusto/profil/spieler/53058",27,"Attacking Midfield","£6.75m","Corinthians","/corinthians/transfers/verein/199/saison_id/2015","Brazil","£6.00m","m","m",6.75,6,2016,2016-01-01,"MID",1,3.79,1988-02-08,27.915,162,27.7012429806297,158
"110","James Troisi","http://www.transfermarkt.co.uk/james-troisi/profil/spieler/52585",27,"Left Wing","£1.13m","Juventus","/juventus/transfers/verein/506/saison_id/2015","Italy","Free transfer","m","r",1.13,0,2016,2016-01-01,"MID",2,0,1988-07-03,27.515,0,27.7012429806297,158
"111","Zainadine Júnior","http://www.transfermarkt.co.uk/zainadine-junior/profil/spieler/137192",27,"Centre Back","£1.50m","Nacional","/nacional/transfers/verein/982/saison_id/2015","Portugal","?","m","?",1.5,0,2016,2016-01-01,"DEF",3,0,1988-06-24,27.54,0,27.7012429806297,158
"112","拉米雷斯","http://www.transfermarkt.co.uk/ramires/profil/spieler/54170",28,"Central Midfield","£18.75m","Chelsea FC","/chelsea-fc/transfers/verein/631/saison_id/2015","England","£21.00m","m","m",18.75,21,2016,2016-01-01,"MID",1,13.25,1987-03-24,28.795,588,27.7012429806297,158
"113","Gervinho","http://www.transfermarkt.co.uk/gervinho/profil/spieler/33481",28,"Left Wing","£11.25m","AS Roma","/as-roma/transfers/verein/12/saison_id/2015","Italy","£13.50m","m","m",11.25,13.5,2016,2016-01-01,"MID",2,8.52,1987-05-27,28.619,378,27.7012429806297,158
"114","Gil","http://www.transfermarkt.co.uk/giltm/profil/spieler/101469",28,"Centre Back","£5.63m","Corinthians","/corinthians/transfers/verein/199/saison_id/2015","Brazil","£6.38m","m","m",5.63,6.38,2016,2016-01-01,"DEF",3,4.03,1987-06-12,28.575,178.64,27.7012429806297,158
"115","Ersan Gülüm","http://www.transfermarkt.co.uk/ersan-gulum/profil/spieler/44982",28,"Centre Back","£3.75m","Besiktas","/besiktas/transfers/verein/114/saison_id/2015","Turkey","£5.25m","m","m",3.75,5.25,2016,2016-01-01,"DEF",4,3.31,1987-05-17,28.647,147,27.7012429806297,158
"116","Fredy Montero","http://www.transfermarkt.co.uk/fredy-montero/profil/spieler/73852",28,"Centre Forward","£8.25m","Sporting CP","/sporting-cp/transfers/verein/336/saison_id/2015","Portugal","£3.75m","m","m",8.25,3.75,2016,2016-01-01,"FWD",5,2.37,1987-07-26,28.455,105,27.7012429806297,158
"117","马丁内斯","http://www.transfermarkt.co.uk/jackson-martinez/profil/spieler/74418",29,"Centre Forward","£22.50m","Atlético Madrid","/atletico-madrid/transfers/verein/13/saison_id/2015","Spain","£31.50m","m","m",22.5,31.5,2016,2016-01-01,"FWD",1,19.88,1986-10-03,29.266,913.5,27.7012429806297,158
"118","Fredy Guarín","http://www.transfermarkt.co.uk/fredy-guarin/profil/spieler/39090",29,"Central Midfield","£7.88m","Inter","/inter/transfers/verein/46/saison_id/2015","Italy","£9.75m","m","m",7.88,9.75,2016,2016-01-01,"MID",2,6.15,1986-06-30,29.526,282.75,27.7012429806297,158
"119","Stéphane Mbia","http://www.transfermarkt.co.uk/stephane-mbia/profil/spieler/27470",29,"Defensive Midfield","£4.69m","Trabzonspor","/trabzonspor/transfers/verein/449/saison_id/2015","Turkey","£4.50m","m","m",4.69,4.5,2016,2016-01-01,"MID",3,2.84,1986-05-20,29.638,130.5,27.7012429806297,158
"120","Burak Yilmaz","http://www.transfermarkt.co.uk/burak-yilmaz/profil/spieler/34987",30,"Centre Forward","£5.25m","Galatasaray","/galatasaray/transfers/verein/141/saison_id/2015","Turkey","£6.00m","m","m",5.25,6,2016,2016-01-01,"FWD",1,3.79,1985-07-15,30.485,180,27.7012429806297,158
"121","Ezequiel Lavezzi","http://www.transfermarkt.co.uk/ezequiel-lavezzi/profil/spieler/50570",30,"Left Wing","£6.75m","Paris SG","/paris-sg/transfers/verein/583/saison_id/2015","France","£4.13m","m","m",6.75,4.13,2016,2016-01-01,"MID",2,2.61,1985-05-03,30.685,123.9,27.7012429806297,158
"122","Assani Lukimya","http://www.transfermarkt.co.uk/assani-lukimya/profil/spieler/32618",30,"Centre Back","£938k","Werder Bremen","/werder-bremen/transfers/verein/86/saison_id/2015","Germany","£1.50m","k","m",0.938,1.5,2016,2016-01-01,"DEF",3,0.95,1986-01-25,29.953,45,27.7012429806297,158
"123","Ralf","http://www.transfermarkt.co.uk/ralf/profil/spieler/99903",31,"Defensive Midfield","£2.63m","Corinthians","/corinthians/transfers/verein/199/saison_id/2015","Brazil","£750k","m","k",2.63,0.75,2016,2016-01-01,"MID",1,0.47,1984-06-09,31.584,23.25,27.7012429806297,158
